"ID.Incidente","Fecha.Incidente","Hora.Incidente","Colonia","Latitud.Emergencia","Longitud.Emergencia","Categoría","Delito./.Emergencia","Género"
"50303",45919,0.88431712962963,"SAN JOSE TEPENENE (TEPENENE)",20.2712243567257,-99.0004564958407,"ASISTENCIA","MALTRATO DE ANIMALES","Femenino"
"31002",45961,0.582233796296296,"SAN PEDRO NOPANCALCO",20.1005685482772,-98.7810570974286,"SEGURIDAD","AMENAZA","Masculino"
"30309",45743,0.564305555555556,"CENTRO PACHUCA DE SOTO",19.9972340830413,-98.5701874179212,"SEGURIDAD","ACCIDENTE DE TRÁNSITO SIN LESIONADOS","Masculino"
"30404",45986,0.903275462962963,"ZONA PLATEADA",20.0341296953467,-98.7395559237617,"SEGURIDAD","DAÑO A PROPIEDAD AJENA","Femenino"
"30401",45912,0.245081018518519,"ZONA PLATEADA",20.0957198525194,-98.6155722683214,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Sin Especificar"
"31102",45708,0.656412037037037,"DOCTORES",19.8621191845597,-98.5559584067923,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA DROGADA","Sin Especificar"
"50301",45666,0.786099537037037,"PIRACANTOS",20.0721585972028,-98.603228723013,"ASISTENCIA","APOYO A LA CIUDADANÍA","Masculino"
"10303",45834,0.493425925925926,"SAN ANTONIO EL DESMONTE",20.060636511822,-98.8409750372621,"MEDICO","URGENCIA EN PACIENTE EMBARAZADA","Sin Especificar"
"30502",45728,0.381215277777778,"PEDREGAL DE LOS ANGELES",20.2421989861578,-98.6882862023523,"SEGURIDAD","VIOLENCIA DE PAREJA","Femenino"
"50301",45943,0.264166666666667,"TLACPAC",19.8330129696266,-98.2624477865804,"ASISTENCIA","APOYO A LA CIUDADANÍA","Masculino"
"31101",46006,0.828981481481481,"HACIENDA MARGARITA",20.1064757885345,-98.7557504587432,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Masculino"
"30103",45868,0.859027777777778,"CENTRO PACHUCA DE SOTO",20.0918714138635,-98.735844219595,"SEGURIDAD","PERSONA TIRADA EN VÍA PÚBLICA","Sin Especificar"
"30308",45722,0.442951388888889,"SIN COLONIA",19.9783699499876,-99.3123401908257,"SEGURIDAD","VEHÍCULO DESCOMPUESTO","Masculino"
"30401",45668,0.128368055555556,"CALNALI CENTRO",20.8517819915879,-98.4671613722365,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Masculino"
"30907",45766,0.566643518518519,"CENTRO 1 ER. CUADRO",20.1371897781953,-98.284677265327,"SEGURIDAD","PERSONA AGRESIVA","Femenino"
"30414",45728,0.844351851851852,"20 DE NOVIEMBRE",20.3937034012624,-99.0070174942496,"SEGURIDAD","ROBO A CASA HABITACIÓN SIN VIOLENCIA","Masculino"
"30309",45919,0.874756944444444,"SAN PEDRO TLACHICHILCO",20.0769256371225,-98.1859499812158,"SEGURIDAD","ACCIDENTE DE TRÁNSITO SIN LESIONADOS","Femenino"
"30446",45923,0.902800925925926,"SANTIAGO TLALTEPOXCO",19.8765008642089,-99.0425389339323,"SEGURIDAD","OTROS ACTOS RELACIONADOS CON EL PATRIMONIO","Femenino"
"30602",45868,0.310891203703704,"SANTIAGO TLAPACOYA CENTRO",20.0613634365808,-98.900298850304,"SEGURIDAD","PERSONA NO LOCALIZADA","Femenino"
"31103",45993,0.684548611111111,"JAVIER ROJO GOMEZ 1A SECC",20.1566826720735,-98.8130467683185,"SEGURIDAD","CONDUCTOR EBRIO","Femenino"
"30307",45809,0.646712962962963,"EL CARMEN",19.8595643393667,-99.0462146091095,"SEGURIDAD","VEHÍCULO SOSPECHOSO","Masculino"
"30401",45753,0.369606481481481,"SAN ANTONIO EL DESMONTE",20.1538680978008,-98.6621921205686,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Sin Especificar"
"30904",45980,0.976180555555556,"PASEOS DE CHAVARRIA",20.2475722402308,-98.7030750188961,"SEGURIDAD","PERSONA SOSPECHOSA","Masculino"
"20404",45942,0.909722222222222,"PERIODISTA",20.0705913305291,-98.7578002561584,"PROTECCIÓN CIVIL","OTROS RESCATES","Masculino"
"30406",45895,0.631979166666667,"CAMPO DE GOLF",20.0225899506126,-98.6805270845243,"SEGURIDAD","EXTORSIÓN","Masculino"
"10107",45999,0.801354166666667,"EL TEJOCOTAL",20.1705362256303,-98.016052499245,"MEDICO","ACCIDENTE MÚLTIPLE CON LESIONADOS","Masculino"
"30101",45830,0.0125115740740741,"PARQUE DE POBLAMIENTO",20.2082284121026,-98.6710547177408,"SEGURIDAD","VEHÍCULO ABANDONADO","Masculino"
"30103",45972,0.483900462962963,"SIN COLONIA",20.0090363449491,-99.0004154483416,"SEGURIDAD","PERSONA TIRADA EN VÍA PÚBLICA","Femenino"
"31112",45675,0.832731481481482,"CRISOL",20.1971789763914,-98.8867988384861,"SEGURIDAD","RIÑA / PELEA CLANDESTINA","Masculino"
"40104",45757,0.496412037037037,"CESPEDES REFORMA",20.2186909776453,-98.7481315459532,"SERVICIOS PÚBLICOS","FALLAS DE SEMÁFORO","Femenino"
"10104",45971,0.269444444444444,"ZAPOTLAN DE JUAREZ",19.863069865393,-98.8890900398845,"MEDICO","ACCIDENTE DE VEHÍCULO AUTOMOTOR CON LESIONADOS","Femenino"
"30101",45750,0.347719907407407,"NUEVA FRANCISCO I MADERO",20.2187020859503,-98.5931816115065,"SEGURIDAD","VEHÍCULO ABANDONADO","Masculino"
"30446",45971,0.343599537037037,"LOS SABINOS",20.1693365415272,-98.3228807689209,"SEGURIDAD","OTROS ACTOS RELACIONADOS CON EL PATRIMONIO","Masculino"
"10317",45908,0.645752314814815,"LOS HEROES TIZAYUCA",20.0091604434989,-98.8913364727613,"MEDICO","FALLECIDO DE CAUSA NATURAL","Sin Especificar"
"30307",45731,0.280289351851852,"IXMIQUILPAN CENTRO",20.5169967929094,-99.2181558589234,"SEGURIDAD","VEHÍCULO SOSPECHOSO","Masculino"
"20203",45889,0.692233796296296,"TAXISTAS",20.0887947979327,-98.7192255608351,"PROTECCIÓN CIVIL","ENJAMBRE DE ABEJAS","Masculino"
"30502",45793,0.906666666666667,"PROGRESO SEGUNDA SECCION",20.0159438569758,-99.3416971574457,"SEGURIDAD","VIOLENCIA DE PAREJA","Femenino"
"50301",45666,0.188935185185185,"SIN COLONIA",20.1062859502336,-98.9183320451466,"ASISTENCIA","APOYO A LA CIUDADANÍA","Masculino"
"30310",45870,0.463680555555556,"CESPEDES REFORMA",20.0325730267265,-98.6238287853153,"SEGURIDAD","OTRAS FALTAS AL REGLAMENTO DE TRÁNSITO","Masculino"
"50105",45948,0.0254282407407407,"JARDINES DEL SUR 5 TA. SECCION",20.1054909905111,-98.4339405580794,"ASISTENCIA","RUIDO EXCESIVO","Masculino"
"31104",45992,0.760416666666667,"CONSTITUCION",20.1610894546608,-98.8716259095348,"SEGURIDAD","CONSUMO DE ALCOHOL EN VÍA PÚBLICA","Masculino"
"20311",45658,0.0326157407407407,"LA CONCHITA",19.7401401972658,-98.4839963491047,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Masculino"
"30903",45943,0.210092592592593,"EX-HACIENDA DE CHAVARRIA",19.9357107400721,-98.5521620859233,"SEGURIDAD","VIOLENCIA CONTRA LA MUJER","Masculino"
"30204",45857,0.0713078703703704,"SIN COLONIA",19.7993965758784,-98.8140411331539,"SEGURIDAD","PORTACIÓN DE ARMAS O CARTUCHOS","Masculino"
"30309",45677,0.466967592592593,"REAL DEL VALLE",20.143218334554,-98.6821119034044,"SEGURIDAD","ACCIDENTE DE TRÁNSITO SIN LESIONADOS","Sin Especificar"
"10103",45839,0.710300925925926,"DE TLAMINULPA (EL SALITRE)",20.0785447930008,-99.1374261134282,"MEDICO","ACCIDENTE DE MOTOCICLETA CON LESIONADOS","Femenino"
"20311",45833,0.661099537037037,"PARQUE DE POBLAMIENTO",20.0975042061101,-98.726637535519,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Sin Especificar"
"30904",45896,0.654722222222222,"FORJADORES DE PACHUCA",20.0610468197468,-98.6208039627937,"SEGURIDAD","PERSONA SOSPECHOSA","Femenino"
"30414",45754,0.581018518518519,"SAN ANTONIO ZARAGOZA",20.1033554735355,-98.9318164189805,"SEGURIDAD","ROBO A CASA HABITACIÓN SIN VIOLENCIA","Sin Especificar"
"20311",46018,0.562337962962963,"LA PROVIDENCIA SIGLO XXI",20.0364031255609,-98.681884742458,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Sin Especificar"
"30307",46012,0.121736111111111,"VICENTE GUERRERO",20.1277708581453,-98.2290596553201,"SEGURIDAD","VEHÍCULO SOSPECHOSO","Femenino"
"31104",45724,0.984351851851852,"AZOYATLA DE OCAMPO",19.9055601000609,-98.5574061329781,"SEGURIDAD","CONSUMO DE ALCOHOL EN VÍA PÚBLICA","Sin Especificar"
"50102",45760,0.232997685185185,"TEPOXTEQUITO SANTA MONICA",21.1945980538418,-98.4226719287401,"ASISTENCIA","TENTATIVA DE ROBO","Masculino"
"31112",45744,0.951365740740741,"SAN FERNANDO",19.9381042638485,-98.7021080673954,"SEGURIDAD","RIÑA / PELEA CLANDESTINA","Femenino"
"50301",45898,0.539861111111111,"LA AMISTAD",20.1015066782812,-99.4014044347918,"ASISTENCIA","APOYO A LA CIUDADANÍA","Masculino"
"30502",45828,0.840960648148148,"LA PROVIDENCIA SIGLO XXI",20.1360485873832,-98.7337991896434,"SEGURIDAD","VIOLENCIA DE PAREJA","Femenino"
"30307",45967,0.479664351851852,"JARDINES DEL SUR 1 RA. SECCION",20.1346502255528,-98.3192558677191,"SEGURIDAD","VEHÍCULO SOSPECHOSO","Masculino"
"31101",45750,0.881273148148148,"TAXISTAS",20.0051599670239,-98.7127352463986,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Femenino"
"50301",45722,0.773483796296296,"PRIVADAS SANTA MATILDE",19.9554875096835,-98.9692818917658,"ASISTENCIA","APOYO A LA CIUDADANÍA","Femenino"
"31112",45857,0.0588425925925926,"INFONAVIT SAN MARCOS",20.1255914267835,-99.4727913831592,"SEGURIDAD","RIÑA / PELEA CLANDESTINA","Femenino"
"30103",45907,0.452071759259259,"SAN PEDRO NOPANCALCO",20.1056118947151,-98.7261547053738,"SEGURIDAD","PERSONA TIRADA EN VÍA PÚBLICA","Masculino"
"30904",45911,0.798483796296296,"VILLAS DE PACHUCA",19.9618841413639,-98.8270509720054,"SEGURIDAD","PERSONA SOSPECHOSA","Masculino"
"10116",45703,0.168611111111111,"ROJO GOMEZ",19.8555152174896,-98.9811500745425,"MEDICO","ATROPELLAMIENTO","Femenino"
"30401",45828,0.342696759259259,"CENTRO PACHUCA DE SOTO",20.1219967480327,-98.7812734892417,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Sin Especificar"
"30309",45939,0.802615740740741,"SIN COLONIA",19.7792410346947,-98.4994883128163,"SEGURIDAD","ACCIDENTE DE TRÁNSITO SIN LESIONADOS","Masculino"
"30101",45771,0.354259259259259,"SANTA JULIA",20.2487015578437,-98.80540108309,"SEGURIDAD","VEHÍCULO ABANDONADO","Sin Especificar"
"30907",45928,0.748078703703704,"CUIXTITLA",19.8655097823249,-98.9115773175443,"SEGURIDAD","PERSONA AGRESIVA","Sin Especificar"
"30305",46006,0.844398148148148,"SAN FRANCISCO HUATENGO",20.0843410384045,-98.3790014099671,"SEGURIDAD","VEHÍCULO A EXCESO DE VELOCIDAD","Masculino"
"10104",45821,0.810844907407408,"CUIXTITLA",20.0314607770466,-99.0791112025351,"MEDICO","ACCIDENTE DE VEHÍCULO AUTOMOTOR CON LESIONADOS","Masculino"
"20104",45889,0.855706018518519,"EL CARMEN",20.1416039402513,-99.3321655948463,"PROTECCIÓN CIVIL","ANIMALES SUELTOS","Femenino"
"50301",45807,0.516898148148148,"SANTA MARIA AMAJAC",20.1655912640938,-98.9270705075665,"ASISTENCIA","APOYO A LA CIUDADANÍA","Sin Especificar"
"50105",45991,0.908877314814815,"MINERAL DEL MONTE CENTRO",20.1859397470874,-98.4911785331524,"ASISTENCIA","RUIDO EXCESIVO","Masculino"
"30606",45811,0.526990740740741,"SIN COLONIA",19.7083249607403,-98.5203830440864,"SEGURIDAD","PERSONA DETENIDA","Femenino"
"31101",45966,0.939143518518519,"HACIENDAS DE TIZAYUCA",19.8131088037381,-98.8470093106167,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA ALCOHOLIZADA","Masculino"
"30904",45742,0.0448611111111111,"PRIVADAS SANTA MATILDE",19.9845746077606,-98.9337318665303,"SEGURIDAD","PERSONA SOSPECHOSA","Femenino"
"31112",45942,0.109027777777778,"JALPA",19.933996320646,-99.3416474724727,"SEGURIDAD","RIÑA / PELEA CLANDESTINA","Masculino"
"50105",45879,0.185960648148148,"EL MINERAL I",19.9350625125221,-98.8486321908122,"ASISTENCIA","RUIDO EXCESIVO","Femenino"
"20108",45683,0.520011574074074,"TEPALZINGO",20.0765537163156,-98.2469483524725,"PROTECCIÓN CIVIL","FUGAS Y DERRAMES DE SUSTANCIAS QUÍMICAS","Sin Especificar"
"30902",45892,0.631319444444444,"FERROCARRILERA",20.1341233278621,-98.2205075424166,"SEGURIDAD","ACCIDENTE DE TRÁNSITO CON MUERTOS","Femenino"
"30503",45797,0.619756944444445,"NUEVA SANTA MARIA",20.083585378655,-99.2572164550445,"SEGURIDAD","VIOLENCIA FAMILIAR","Masculino"
"20311",45698,0.799305555555556,"EL DURAZNO",20.3008752019816,-99.0001632482504,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Femenino"
"30401",45710,0.157766203703704,"CENTRO CARDONAL",20.5841191637367,-99.1306606809267,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Masculino"
"50102",45880,0.86994212962963,"CENTRO PACHUCA DE SOTO",20.1925254002695,-98.8542098664717,"ASISTENCIA","TENTATIVA DE ROBO","Masculino"
"30904",45721,0.403136574074074,"SAN PEDRO NOPANCALCO",20.1168391508203,-98.731881638018,"SEGURIDAD","PERSONA SOSPECHOSA","Sin Especificar"
"10308",45836,0.416435185185185,"ZONA PLATEADA",20.0612598864738,-98.744585532744,"MEDICO","PERSONA INCONSCIENTE / URGENCIA NEUROLÓGICA","Sin Especificar"
"30401",45685,0.519050925925926,"VALLE DEL MAYAB",20.156251276083,-98.6420657845667,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Sin Especificar"
"30401",45768,0.0607638888888889,"VENTA PRIETA",20.0862234702121,-98.8935788584487,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Sin Especificar"
"20311",45985,0.873263888888889,"VIVEROS DE LA LOMA",19.9527104429139,-98.5483293336868,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Masculino"
"30446",45755,0.438171296296296,"NACOZARI",19.77904759759,-98.8340746118894,"SEGURIDAD","OTROS ACTOS RELACIONADOS CON EL PATRIMONIO","Femenino"
"10310",45718,0.704664351851852,"CIUDAD NATURA",19.7189503564247,-98.7798634977943,"MEDICO","URGENCIA POR ENFERMEDAD GENERAL","Femenino"
"10208",46013,0.828032407407407,"VALLE DE TIZAYUCA",20.1343107054062,-98.8941622756808,"MEDICO","LESIONADO POR ARMA BLANCA","Femenino"
"10104",45892,0.749409722222222,"EL PALMAR",20.1211002955055,-98.6046862244317,"MEDICO","ACCIDENTE DE VEHÍCULO AUTOMOTOR CON LESIONADOS","Masculino"
"30446",45754,0.589386574074074,"SEGUNDAS LAJAS",20.0527936494772,-98.5422335565152,"SEGURIDAD","OTROS ACTOS RELACIONADOS CON EL PATRIMONIO","Masculino"
"30204",45843,0.935034722222222,"AMPLIACION FELIPE ANGELES",19.9694635585367,-98.8845557369316,"SEGURIDAD","PORTACIÓN DE ARMAS O CARTUCHOS","Femenino"
"50301",45907,0.175428240740741,"EL SEMINARIO",21.1183586648602,-98.5002945853086,"ASISTENCIA","APOYO A LA CIUDADANÍA","Femenino"
"30414",45933,0.792881944444444,"EL TABLON",20.1196960273977,-99.3173027839211,"SEGURIDAD","ROBO A CASA HABITACIÓN SIN VIOLENCIA","Femenino"
"30401",45838,0.219108796296296,"PERIODISTA",20.0926563521499,-98.726520379786,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Femenino"
"10220",45899,0.209375,"JALPA",19.9255737125114,-99.4774542536636,"MEDICO","OTROS INCIDENTES MÉDICOS TRAUMÁTICOS","Sin Especificar"
"31002",45662,0.522858796296296,"ISSSTE",20.011058200949,-99.0573875077718,"SEGURIDAD","AMENAZA","Sin Especificar"
"30422",45837,0.210474537037037,"NOXTONGO SEGUNDA SECCION",19.9371618359423,-99.3021895057039,"SEGURIDAD","ROBO A TRANSEÚNTE SIN VIOLENCIA","Masculino"
"30502",45903,0.966875,"MORELOS 1A SECCION",20.1368524538441,-98.9106459330377,"SEGURIDAD","VIOLENCIA DE PAREJA","Masculino"
"30101",45803,0.561377314814815,"PIRACANTOS",20.070586898615,-98.8671851676428,"SEGURIDAD","VEHÍCULO ABANDONADO","Masculino"
"30503",45914,0.493831018518518,"PASEOS DE CHAVARRIA",19.9859519279596,-98.8930871145758,"SEGURIDAD","VIOLENCIA FAMILIAR","Sin Especificar"
"30310",45694,0.577881944444444,"REVOLUCION",19.973763197221,-98.788843723887,"SEGURIDAD","OTRAS FALTAS AL REGLAMENTO DE TRÁNSITO","Sin Especificar"
"30401",45884,0.722430555555556,"VALLE VERDE",21.0345524514309,-98.4980347271697,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Femenino"
"50102",45802,0.0531481481481481,"CENTRO DE SANTA ANA HUEYTLALPAN",20.140483090143,-98.3665129446368,"ASISTENCIA","TENTATIVA DE ROBO","Sin Especificar"
"30411",46011,0.771956018518519,"FRACCIONAMIENTO LOS CEDROS",20.1140232318462,-98.5717536957431,"SEGURIDAD","ROBO DE AUTOPARTES O ACCESORIOS","Femenino"
"30307",45893,0.479884259259259,"ACAYUCA",20.0377316805089,-98.9704262537633,"SEGURIDAD","VEHÍCULO SOSPECHOSO","Femenino"
"10310",45938,0.317222222222222,"EL ENCINAL",19.8963457686883,-98.3986969818751,"MEDICO","URGENCIA POR ENFERMEDAD GENERAL","Masculino"
"30310",46015,0.409143518518519,"JUAN C. DORIA",19.9344220631268,-98.7378156683367,"SEGURIDAD","OTRAS FALTAS AL REGLAMENTO DE TRÁNSITO","Masculino"
"20311",46014,0.893923611111111,"JAGUEY DE TELLEZ (ESTACION TELLEZ)",19.8777488120737,-98.9141482008481,"PROTECCIÓN CIVIL","OTROS INCENDIOS","Masculino"
"50102",45839,0.914872685185185,"EL SAUCILLO",20.1508926392268,-98.6720756580055,"ASISTENCIA","TENTATIVA DE ROBO","Femenino"
"30904",45965,0.981550925925926,"LOS TUZOS",20.0669401723334,-98.7954706167509,"SEGURIDAD","PERSONA SOSPECHOSA","Masculino"
"31102",45878,0.742951388888889,"CENTRO PACHUCA DE SOTO",20.1253403270818,-98.8285331811842,"SEGURIDAD","ALTERACIÓN DEL ORDEN PÚBLICO POR PERSONA DROGADA","Femenino"
"30401",45991,0.336736111111111,"CENTRO CHAPULHUACAN",21.0112052498566,-98.873830303562,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Femenino"
"10310",45958,0.365231481481482,"DON ANTONIO",19.9835458373064,-98.9971886758004,"MEDICO","URGENCIA POR ENFERMEDAD GENERAL","Masculino"
"30401",45795,0.208240740740741,"HUEJUTLA DE REYES CENTRO",21.1521564154966,-98.1320187488762,"SEGURIDAD","OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS","Masculino"
"40107",45872,0.0154166666666667,"VILLAS DE ATITALAQUIA",19.9908484483283,-99.0729869947712,"SERVICIOS PÚBLICOS","CORTO CIRCUITO","Masculino"
